depth,vs
0,1334.69487742103
2,1334.69487742103
4,1334.69487742103
6,1334.69487742103
8,1334.69487742103
10,1334.69487742103
12,1332.29433050332
14,1329.45673681531
16,1326.9732036462
18,1325.64041625994
20,1326.45731768436
22,1329.97288465531
24,1337.30730552666
26,1348.36583716096
28,1362.83593147935
30,1380.51186288842
32,1400.70316857282
34,1423.07338107039
36,1446.74588704226
38,1471.1683724478
40,1495.85325122273
42,1520.53063829778
44,1544.82057545451
46,1568.51260685213
48,1591.7102771564
50,1614.35197337622
52,1636.5812055039
54,1658.41251324984
56,1680.01882706403
58,1701.22693777067
60,1722.10704457978
62,1742.41024895609
64,1761.80955100369
66,1780.14546446349
68,1797.24068466805
70,1812.98714513521
72,1827.37810268174
74,1840.23768510164
76,1851.7861285539
78,1862.1802872305
80,1871.43387323893
82,1879.7156824358
84,1886.99357112322
86,1893.45891681468
88,1899.19338518209
90,1904.23431556529
92,1908.67551744301
94,1912.47752400494
96,1915.77073751207
98,1918.58627808635
100,1920.95545273112
102,1922.92372654388
104,1924.44489745931
106,1925.62155421818
108,1926.47717704629
110,1927.03906938443
112,1927.34566319028
114,1927.40419222145
116,1927.2804628115
118,1926.99990231718
120,1926.58623186738
122,1926.06487732359
124,1925.46522895993
126,1924.82704583983
128,1924.1782587212
130,1923.54350397612
132,1922.95053615843
134,1922.44202970359
136,1922.01859603237
138,1921.69005997624
140,1921.46438022392
142,1921.34686929578
144,1921.35344186557
146,1921.46238878409
148,1921.6745793402
150,1921.99161362305
152,1922.41183577292
154,1922.94479685114
156,1923.56973724424
158,1924.28915100547
160,1925.10172643214
162,1926.00521267298
164,1927.00685309248
166,1928.08974016998
168,1929.25713200942
170,1930.50314147053
172,1931.82753726673
174,1933.23676026725
176,1934.71550060661
178,1936.26692654533
180,1937.8820679905
182,1939.56439478889
184,1941.3162086758
186,1943.12450641092
188,1944.99212561605
190,1946.90965142989
192,1948.88074601225
194,1950.90596935405
196,1952.97504214494
198,1955.0900322283
200,1957.24235750422
202,1959.43481163598
204,1961.66833806644
206,1963.93331365535
208,1966.23248428331
210,1968.55833195416
212,1970.91420697782
214,1973.30194141882
216,1975.71295625688
218,1978.15175475832
220,1980.61099919371
222,1983.09395822339
224,1985.59770326547
226,1988.11371364632
228,1990.63830143652
230,1993.16692745052
232,1995.69081420425
234,1998.20321356055
236,2000.70361425962
238,2003.17319688187
240,2005.62382527262
242,2008.043141187
244,2010.43170571409
246,2012.80040981031
248,2015.13528125639
250,2017.45493132435
252,2019.7580192727
254,2022.05275650521
256,2024.34539793647
258,2026.63676993845
260,2028.93219926555
262,2031.23645848078
264,2033.55236959972
266,2035.87801690305
268,2038.21887035739
270,2040.5709011839
272,2042.93930170332
274,2045.32514312697
276,2047.72415911892
278,2050.14354833293
280,2052.57660314999
282,2055.02801742812
284,2057.49808716409
286,2059.98136864876
288,2062.48419527018
290,2064.99961334346
292,2067.53186291389
294,2070.08201837473
296,2072.6456566318
298,2075.22958290142
300,2077.82671124608
302,2080.44228120216
304,2083.0781941417
306,2085.72937898593
308,2088.40263210135
310,2091.09200909683
312,2093.80492712835
314,2096.54933777266
316,2099.32459439248
318,2102.14751731371
320,2105.01327362801
322,2107.94501827274
324,2110.96673019341
326,2114.05730011457
328,2117.24151639013
330,2120.48939216654
332,2123.81554121057
334,2127.21256836669
336,2130.64546004862
338,2134.11764120993
340,2137.60867947116
342,2141.11756185616
344,2144.63747054254
346,2148.16221549656
348,2151.69169776983
350,2155.22401104491
352,2158.759239826
354,2162.29750845176
356,2165.837923743
358,2169.38083163257
360,2172.92572158671
362,2176.47322123665
364,2180.02321190805
366,2183.57538681959
368,2187.13005672577
370,2190.68660988269
372,2194.24527975804
374,2197.80508860148
376,2201.36505290349
378,2204.92495764456
380,2208.48422537077
382,2212.04264845058
384,2215.60020461059
386,2219.15778401275
388,2222.71557981636
390,2226.27418146608
392,2229.83472017222
394,2233.39701501599
396,2236.96109029626
398,2240.52702582873
400,2244.09498240817
